Timestamp,Temperature,CORE 1(%),CORE 2(%),CORE 3(%),CORE 4(%),CORE 1(MHZ),CORE 2(MHZ),CORE 3(MHZ),CORE 4(MHZ),Available Mem (MHZ),CPU (%),MEM (%)
2019-11-11 22:10:26.666248,51.5,0.0,2.1,3.0,0.0,600.0,600.0,600.0,600.0,644759552,0.0,0.2
2019-11-11 22:10:28.692250,51.5,2.2,0.0,3.0,0.0,600.0,600.0,600.0,600.0,644767744,0.0,0.2
2019-11-11 22:10:30.718060,50.5,4.2,1.0,3.0,0.0,600.0,600.0,600.0,600.0,644784128,0.0,0.2
2019-11-11 22:10:32.744255,50.5,2.1,0.0,2.0,0.0,600.0,600.0,600.0,600.0,644644864,0.0,0.2
2019-11-11 22:10:34.770074,50.5,4.2,0.0,3.0,0.0,600.0,600.0,600.0,600.0,644796416,0.0,0.2
2019-11-11 22:10:36.796063,51.5,2.1,0.0,3.0,0.0,600.0,600.0,600.0,600.0,644780032,0.0,0.2
2019-11-11 22:10:38.821899,51.0,3.2,0.0,3.0,0.0,600.0,600.0,600.0,600.0,644526080,0.0,0.2
2019-11-11 22:10:40.847932,51.0,1.1,0.0,1.0,0.0,600.0,600.0,600.0,600.0,644694016,0.0,0.2
2019-11-11 22:10:42.873982,51.0,2.1,1.0,1.0,1.0,600.0,600.0,600.0,600.0,644661248,0.0,0.2
2019-11-11 22:10:44.899636,50.5,4.2,1.0,2.0,0.0,600.0,600.0,600.0,600.0,644661248,0.0,0.2
2019-11-11 22:10:46.925593,51.0,1.1,0.0,2.0,1.0,600.0,600.0,600.0,600.0,644820992,0.0,0.2
2019-11-11 22:10:48.951394,50.5,0.0,1.0,2.0,0.0,600.0,600.0,600.0,600.0,644923392,0.0,0.2
2019-11-11 22:10:50.977620,51.0,2.1,1.0,3.0,0.0,600.0,600.0,600.0,600.0,644907008,0.0,0.2
2019-11-11 22:10:53.003817,51.0,4.2,2.0,0.0,0.0,600.0,600.0,600.0,600.0,645210112,0.0,0.2
2019-11-11 22:10:55.029412,50.5,2.1,4.0,1.0,0.0,600.0,600.0,600.0,600.0,645058560,0.0,0.2
2019-11-11 22:10:57.055583,51.0,5.3,0.0,0.0,1.0,600.0,600.0,600.0,600.0,644730880,0.0,0.2
2019-11-11 22:10:59.081377,51.0,4.2,0.0,1.0,0.0,600.0,600.0,600.0,600.0,644857856,0.0,0.2
2019-11-11 22:11:01.107523,51.0,0.0,4.0,2.0,0.0,600.0,600.0,600.0,600.0,644898816,0.0,0.2
2019-11-11 22:11:03.133392,51.5,0.0,4.0,3.0,1.0,600.0,600.0,600.0,600.0,644866048,0.0,0.2
2019-11-11 22:11:05.159703,50.5,0.0,4.0,3.0,0.0,600.0,600.0,600.0,600.0,645009408,0.0,0.2
2019-11-11 22:11:07.185419,51.0,1.0,1.0,3.0,1.0,600.0,600.0,600.0,600.0,644636672,0.0,0.2
2019-11-11 22:11:09.211441,50.5,0.0,2.0,3.0,0.0,600.0,600.0,600.0,600.0,644730880,0.0,0.2
2019-11-11 22:11:11.236971,50.5,0.0,1.0,3.0,0.0,600.0,600.0,600.0,600.0,644763648,0.0,0.2
2019-11-11 22:11:13.262762,50.5,0.0,3.0,2.0,0.0,600.0,600.0,600.0,600.0,644771840,0.0,0.2
2019-11-11 22:11:15.288824,51.5,1.0,4.0,3.0,0.0,600.0,600.0,600.0,600.0,644866048,0.0,0.2
2019-11-11 22:11:17.314732,50.5,0.0,3.0,3.9,0.0,600.0,600.0,600.0,600.0,644739072,0.0,0.2
2019-11-11 22:11:19.340535,51.0,0.0,0.0,1.0,3.0,600.0,600.0,600.0,600.0,644890624,0.0,0.2
2019-11-11 22:11:21.366349,50.5,0.0,1.0,5.0,0.0,600.0,600.0,600.0,600.0,644874240,0.0,0.2
2019-11-11 22:11:23.392542,50.5,0.0,2.0,4.0,0.0,600.0,600.0,600.0,600.0,644874240,0.0,0.2
2019-11-11 22:11:25.418498,50.5,1.0,1.0,3.0,0.0,600.0,600.0,600.0,600.0,645009408,0.0,0.2
2019-11-11 22:11:27.444301,50.5,0.0,1.0,3.0,1.0,600.0,600.0,600.0,600.0,644993024,0.0,0.2
2019-11-11 22:11:29.470051,50.5,0.0,1.0,3.0,0.0,600.0,600.0,600.0,600.0,644763648,0.0,0.2
2019-11-11 22:11:31.495819,50.5,0.0,3.0,3.0,1.0,600.0,600.0,600.0,600.0,644935680,0.0,0.2
2019-11-11 22:11:33.521724,50.5,1.0,0.0,4.1,0.0,600.0,600.0,600.0,600.0,645046272,0.0,0.2
2019-11-11 22:11:35.547576,50.5,0.0,1.0,3.9,1.0,600.0,600.0,600.0,600.0,645120000,0.0,0.2
2019-11-11 22:11:37.573372,51.0,0.0,0.0,2.0,2.0,600.0,600.0,600.0,600.0,645238784,0.0,0.2
2019-11-11 22:11:39.599705,51.5,0.0,0.0,3.0,4.0,600.0,600.0,600.0,600.0,645120000,0.0,0.2
2019-11-11 22:11:41.625119,51.0,1.0,0.0,3.0,3.1,600.0,600.0,600.0,600.0,644907008,0.0,0.2
2019-11-11 22:11:43.649831,50.5,0.0,3.0,2.0,0.0,600.0,600.0,600.0,600.0,645017600,0.0,0.2
2019-11-11 22:11:45.675996,51.0,0.0,0.0,4.1,1.0,600.0,600.0,600.0,600.0,645177344,0.0,0.2
2019-11-11 22:11:47.701904,50.5,1.0,3.0,2.0,0.0,600.0,600.0,600.0,600.0,645177344,0.0,0.2
